Date,Temp,Dew Point,Relative Humidity,Wind Direction ,Windspeed,Pressure at the Station
01/01/2017 00:00,-7.3,-12.3,67,32,12,98.12
01/01/2017 01:00,-7.5,-12.5,68,32,11,98.14
01/01/2017 02:00,-9.5,-12.8,77,29,1,98.16
01/01/2017 03:00,-11.7,-13.5,86,0,1,98.17
01/01/2017 04:00,-12.8,-15.1,83,11,2,98.18
01/01/2017 05:00,-12.6,-13.9,90,,0,98.13
01/01/2017 06:00,-15,-16.3,90,25,4,98.11
01/01/2017 07:00,-17.5,-19.2,86,29,3,98.12
01/01/2017 08:00,-15.7,-17,90,27,1,98.12
01/01/2017 09:00,-14.4,-15.4,92,18,1,98.05
01/01/2017 10:00,-15.6,-17.1,89,30,3,98.06
01/01/2017 11:00,-15,-16.6,87,17,3,98.05
01/01/2017 12:00,-14,-15.5,88,20,6,97.98
01/01/2017 13:00,-13.9,-15.4,88,19,8,97.9
01/01/2017 14:00,-12.6,-14.3,87,19,8,97.86
01/01/2017 15:00,-11.6,-13.8,84,20,7,97.8
01/01/2017 16:00,-11.5,-13.5,85,20,4,97.81
01/01/2017 17:00,-11.6,-13.5,86,27,2,97.83
01/01/2017 18:00,-11.9,-13.4,89,36,2,97.82
01/01/2017 19:00,-11.2,-12.9,88,,0,97.88
01/01/2017 20:00,-9.8,-11.6,87,36,3,97.96
01/01/2017 21:00,-6.8,-8.8,86,34,8,98.04
01/01/2017 22:00,-6.8,-8.8,85,1,5,98.14
01/01/2017 23:00,-7,-8.8,87,1,7,98.25
01/02/2017 00:00,-7.6,-10,83,1,7,98.33
01/02/2017 01:00,-8.2,-10.4,84,4,6,98.39
01/02/2017 02:00,-9.5,-12.9,76,5,6,98.42
01/02/2017 03:00,-9.7,-12.9,77,7,3,98.44
01/02/2017 04:00,-10,-12.8,80,17,5,98.49
01/02/2017 05:00,-10.5,-12.4,86,18,5,98.48
01/02/2017 06:00,-10.8,-12.2,89,18,4,98.5
01/02/2017 07:00,-11.1,-12.5,89,18,5,98.49
01/02/2017 08:00,-11.3,-12.7,89,16,4,98.48
01/02/2017 09:00,-11.5,-12.8,90,0,1,98.51
01/02/2017 10:00,-11,-12.6,89,18,4,98.52
01/02/2017 11:00,-11,-12.6,88,17,4,98.51
01/02/2017 12:00,-10.5,-12.1,88,20,5,98.47
01/02/2017 13:00,-10.2,-11.7,89,17,5,98.43
01/02/2017 14:00,-10,-11.5,89,18,4,98.42
01/02/2017 15:00,-9.8,-11.3,89,20,3,98.41
01/02/2017 16:00,-10.2,-11.6,90,,0,98.44
01/02/2017 17:00,-10.3,-11.4,92,31,1,98.45
01/02/2017 18:00,-9.9,-11.2,90,30,6,98.48
01/02/2017 19:00,-10.1,-11.3,91,8,1,98.49
01/02/2017 20:00,-10.4,-11.8,89,4,5,98.54
01/02/2017 21:00,-10.4,-11.8,90,28,3,98.57
01/02/2017 22:00,-10.3,-11.5,91,18,5,98.61
01/02/2017 23:00,-10.1,-11.4,91,17,2,98.61
01/03/2017 00:00,-9.7,-10.9,91,22,4,98.65
01/03/2017 01:00,-9.3,-10.5,91,17,4,98.68
01/03/2017 02:00,-8.2,-9.7,89,17,4,98.72
01/03/2017 03:00,-9.3,-11.1,87,33,4,98.72
01/03/2017 04:00,-9.5,-10.3,94,17,3,98.71
01/03/2017 05:00,-9.8,-10.4,96,0,1,98.71
01/03/2017 06:00,-11,-12.1,91,35,2,98.69
01/03/2017 07:00,-10.1,-11.1,93,0,1,98.66
01/03/2017 08:00,-10.5,-11.6,91,4,1,98.65
01/03/2017 09:00,-10,-11.1,92,,0,98.7
01/03/2017 10:00,-8.6,-9.5,93,20,5,98.7
01/03/2017 11:00,-8.9,-10,91,18,6,98.65
01/03/2017 12:00,-8,-9.3,91,18,5,98.6
01/03/2017 13:00,-7.3,-8.7,90,18,5,98.53
01/03/2017 14:00,-6.8,-8.4,88,18,4,98.52
